Ssn,Name,Phone,Email,Password,Location,age,IsAuth,Sigungu,sido,x,y
764066-170580,편주진,010-9196-9940,749194@naver.com,793109,창원시,45,1,380700,380000,128.63694,37.27327
630218-203507,정비경,010-1605-4556,908970@naver.com,672906,문경시,58,1,370800,370000,126.19842,37.79399
956280-173757,오재혜,010-4095-7358,22768@naver.com,411957,울산중구,26,1,260003,260000,126.5782,36.9361
719511-125045,곽민령,010-7583-0572,4369@naver.com,102024,보은군,50,0,330003,330000,126.31177,36.16058
647745-286709,권서희,010-3093-1091,578435@naver.com,834754,청주시,57,0,330100,330000,128.91141,36.21793
582740-122024,전미소,010-5224-9859,909776@naver.com,164859,김제시,63,1,350600,350000,126.93854,36.25662
696822-245835,공하휘,010-3831-1755,814151@naver.com,183118,가평군,52,0,310001,310000,128.14944,36.38135
860429-158701,배채휘,010-8535-8884,28371@naver.com,387608,순천시,35,1,360400,360000,127.19466,35.26487
941906-259447,구순현,010-8275-5227,110155@naver.com,669277,경주시,27,0,370100,370000,128.98187,35.70807
687191-187654,은준화,010-8183-0612,104745@naver.com,858967,양구군,53,0,320004,320000,127.14098,37.5644
412885-119022,노가늘,010-3317-6854,728736@naver.com,715465,시흥시,80,1,311700,310000,126.55644,35.28337
596050-199286,지기언,010-1289-8592,975143@naver.com,369811,울산남구,62,0,260001,260000,126.73608,36.57315
830663-176866,양교혜,010-3693-8544,678941@naver.com,320012,남양주시,38,0,311500,310000,127.15767,37.83244
918194-217903,김주신,010-3463-2473,584910@naver.com,756451,포천시,30,0,312800,310000,126.34255,35.98944
932432-272379,원주나,010-1864-7718,6783@naver.com,244237,목포시,28,0,360300,360000,126.679,35.08357
491726-112881,공비림,010-9019-2315,347420@naver.com,20655,태백시,72,0,320600,320000,128.83603,35.9453
850902-222566,송수혜,010-7627-3050,765032@naver.com,945314,마포구,36,1,110009,110000,128.98764,37.15454
605568-257741,지승경,010-8795-8050,532657@naver.com,620608,보령시,61,0,340400,340000,127.12001,37.15794
448116-280098,민은희,010-7187-6069,526622@naver.com,25566,부안군,77,1,350005,350000,127.85865,37.37856
424557-257701,전비혜,010-4786-8627,644312@naver.com,794934,울릉군,79,0,370018,370000,126.35047,35.77117
835754-297239,홍원윤,010-1416-3695,969113@naver.com,910214,창녕군,38,0,380014,380000,128.82389,36.46678
734740-209198,박다완,010-4849-9074,316300@naver.com,849353,성동구,48,1,110011,110000,127.60817,36.47653
788209-175609,여효안,010-4456-9908,381105@naver.com,457060,영주시,43,0,370500,370000,128.96202,35.98
761459-108736,최희령,010-6540-2613,609490@naver.com,933803,대구달서구,45,1,230007,230000,126.22309,37.34334
796268-289297,변규송,010-7065-4477,793828@naver.com,51708,수원영통구,42,1,310604,310000,128.34873,36.54593
933387-175894,은소송,010-7347-9436,606141@naver.com,323051,순천시,28,0,360400,360000,128.95579,37.29092
882673-246925,변채진,010-3602-2719,300142@naver.com,876185,창원마산회원구,33,1,380701,380000,127.51072,35.79715
897422-135909,조솔성,010-5242-9256,359303@naver.com,596723,평창군,32,0,320012,320000,127.87989,35.06904
894142-211048,추선선,010-2427-5051,16605@naver.com,691117,강릉시,32,1,320100,320000,128.53777,36.90515
820807-113029,정현당,010-5540-1109,694430@naver.com,824777,구미시,39,0,370200,370000,126.36238,36.98527
568162-161100,원한빈,010-5470-3534,551230@naver.com,928265,광주남구,65,0,240005,240000,127.7565,37.34458
578349-218651,염태유,010-8204-6862,119029@naver.com,451848,진안군,64,0,350013,350000,126.51476,36.38844
621720-275719,배주혜,010-9371-2402,924178@naver.com,429904,구례군,59,1,360006,360000,128.9259,37.46988
418741-219029,은솔민,010-2544-6209,73391@naver.com,813891,공주시,80,1,340300,340000,126.55896,37.47408
881627-213845,양채화,010-7003-6700,730698@naver.com,728260,대전동구,33,1,250004,250000,128.99538,36.71327
597062-133132,허시재,010-9261-8630,164319@naver.com,714774,용인처인구,62,0,312003,310000,128.31838,37.78234
616018-202647,윤선래,010-5739-3821,400701@naver.com,31637,안양동안구,60,1,310702,310000,128.81014,36.50116
519546-164786,손수솔,010-3424-7928,234049@naver.com,745432,동대문구,70,0,110007,110000,128.04492,35.74469
562393-223588,석채수,010-6137-8034,909992@naver.com,923670,김해군,65,0,380004,380000,128.66663,35.41758
599353-184717,공소준,010-4908-3626,260000@naver.com,742784,양평군,62,1,310009,310000,127.39214,36.5452
417693-172263,엄가윤,010-5158-3075,542614@naver.com,418234,삼척시,80,0,320700,320000,126.48807,37.98661
850707-204784,곽희리,010-7730-9921,911521@naver.com,170135,철원군,36,0,320010,320000,127.94978,36.65052
868498-168131,한효교,010-4364-8413,894190@naver.com,357004,장수군,35,0,350011,350000,127.82633,35.10523
460531-182574,노재채,010-2747-9638,36456@naver.com,568684,창원진해구,75,1,380703,380000,128.50888,36.9829
617921-120651,방나율,010-4665-7901,355069@naver.com,649213,당진군,60,0,340004,340000,128.38451,36.01951
900782-232478,곽영인,010-4591-2786,120604@naver.com,247434,마산시,31,1,380200,380000,127.23559,35.00515
451627-286167,하혜윤,010-4034-2509,788076@naver.com,330375,고성군,76,1,380003,380000,128.92325,35.59719
569041-160945,배수비,010-4417-2501,905484@naver.com,438522,보령시,65,1,340400,340000,127.46352,37.75629
850624-146106,변양성,010-3026-5058,889926@naver.com,622157,연천군,36,1,310011,310000,128.29301,36.18753
902052-297723,강혜완,010-3427-1688,738525@naver.com,76428,영양군,31,1,370013,370000,126.86754,35.21155
714525-166824,서서당,010-2146-2090,10024@naver.com,481390,중랑구,50,0,110019,110000,126.24833,36.95124
836276-267415,한태령,010-7671-0699,199792@naver.com,433360,인천중구,38,0,220004,220000,128.05782,35.99437
831710-191154,원송경,010-8376-8476,577058@naver.com,43315,동두천시,38,1,310200,310000,126.01641,37.39303
518038-173880,도준휘,010-7130-0767,376562@naver.com,106587,울산남구,70,1,260001,260000,126.27218,36.51445
805668-278509,권다준,010-6364-7492,926735@naver.com,510701,청송군,41,1,370023,370000,126.03023,36.72723
834302-264514,노여운,010-1667-3941,301883@naver.com,280702,고양일산동구,38,1,311903,310000,127.19946,37.71294
854089-181298,유소늘,010-7020-2796,198820@naver.com,868524,고양덕양구,36,0,311901,310000,128.45061,37.99977
768823-286350,추하채,010-8905-0652,927479@naver.com,841163,울산중구,45,0,260003,260000,128.11771,37.3536
643395-286851,백김준,010-9451-9139,976019@naver.com,689252,고창군,57,0,350001,350000,128.75987,37.26512
833854-112749,임고서,010-4092-5500,671129@naver.com,965390,단양군,38,0,330002,330000,128.93499,36.88706
949777-232152,구병신,010-2665-1879,225413@naver.com,591643,강진군,27,0,360001,360000,128.03275,36.55516
463831-179638,문규정,010-4260-6053,260329@naver.com,873327,인제군,75,1,320008,320000,128.69568,36.395
967211-202209,박소준,010-7525-4898,690704@naver.com,453711,고양덕양구,25,0,311901,310000,128.89426,35.05051
992325-221648,구보미,010-2014-4012,47192@naver.com,311436,진도군,22,1,360019,360000,126.99891,35.43005
874857-275108,엄해예,010-1459-9719,494511@naver.com,115428,부산수영구,34,0,210014,210000,127.93943,36.329
575043-264183,하세채,010-7628-8410,804823@naver.com,790003,산청군,64,0,380008,380000,126.3595,37.56852
554122-204721,강윤미,010-3506-0079,961057@naver.com,700457,증평군,66,0,330011,330000,126.07746,37.84389
483053-144025,권진한,010-1680-3105,955125@naver.com,580751,고양덕양구,73,1,311901,310000,128.87259,35.81248
464800-206250,서이완,010-6784-2994,291134@naver.com,816789,칠곡군,75,0,370024,370000,128.85826,37.38936
530799-248984,곽다향,010-1164-3750,789662@naver.com,800642,마산시,68,1,380200,380000,128.51277,35.8223
622928-284091,황은소,010-4012-5833,528492@naver.com,131004,인천동구,59,1,220002,220000,126.47134,36.52317
976194-197371,우주영,010-9650-9207,298405@naver.com,794674,성주군,24,1,370010,370000,127.56279,35.14794
527908-251172,여김미,010-6791-9044,517522@naver.com,327,대구동구,69,1,230002,230000,128.92982,35.46671
819546-219051,공은희,010-8911-9574,658863@naver.com,626609,광주남구,40,1,240005,240000,128.87559,36.1504
644167-180650,배효화,010-6029-6119,241961@naver.com,811249,전주시,57,0,350400,350000,126.32968,36.45235
745256-286655,고조희,010-2870-7729,294666@naver.com,583327,진주시,47,0,380500,380000,127.13862,35.88057
439827-216214,변한교,010-1418-9996,699963@naver.com,919299,통영시,78,1,380800,380000,126.63023,37.98216
465424-283991,표명성,010-7920-3558,443906@naver.com,93075,완주군,75,1,350008,350000,128.21221,36.17789
442865-135568,남경하,010-6625-6986,367160@naver.com,188272,서초구,77,0,110021,110000,127.43144,37.09609
635780-290716,공조호,010-2737-4493,795134@naver.com,994351,고령군,58,0,370002,370000,128.80115,36.93756
433382-226943,여상지,010-9231-1013,500348@naver.com,232369,천안시,78,1,340200,340000,126.14428,35.48107
523097-127175,나소온,010-4218-5259,572705@naver.com,794402,청주시,69,0,330100,330000,128.78624,37.83847
827383-130626,한시희,010-3652-3466,451969@naver.com,329368,청송군,39,0,370023,370000,128.21969,36.28439
742017-106333,하민인,010-5861-4867,303895@naver.com,305894,광주남구,47,0,240005,240000,127.43371,36.12419
685786-154605,표태인,010-6069-4913,182926@naver.com,753573,인천강화군,53,1,220100,220000,126.02502,35.81255
840729-123691,방태경,010-3228-6299,478510@naver.com,403828,과천시,37,0,310900,310000,126.78434,35.45902
958143-251767,오이욱,010-5231-4327,287744@naver.com,611064,홍천군,26,1,320013,320000,126.66464,37.9803
730826-218814,조혜기,010-7017-7194,310099@naver.com,769984,양양군,48,0,320005,320000,126.96084,35.80387
513088-248590,양소기,010-1572-0413,993307@naver.com,138594,음성군,70,0,330006,330000,127.57244,37.35846
913611-233526,편가민,010-7029-4315,454500@naver.com,619597,순천시,30,1,360400,360000,127.17491,36.25779
818696-257549,추동한,010-1823-8465,222445@naver.com,559009,전주완산구,40,0,350401,350000,128.48288,35.11021
637450-241445,문보진,010-4237-2530,664263@naver.com,871899,문경시,58,1,370800,370000,126.00997,37.38104
785210-243629,우한기,010-1388-5773,430111@naver.com,320072,속초시,43,1,320300,320000,128.85179,35.90772
454732-147971,민채이,010-1206-2049,622609@naver.com,348608,화천군,76,1,320014,320000,126.94652,36.84593
501953-175248,엄소완,010-8415-8962,220435@naver.com,977346,부산동래구,71,1,210003,210000,127.65397,35.54549
787455-132161,장민송,010-4993-9355,788378@naver.com,418782,무주군,43,0,350004,350000,127.04742,35.24334
536907-223009,구윤기,010-6426-6631,452728@naver.com,979841,영광군,68,0,360014,360000,128.4575,37.16369
999665-145206,차윤기,010-3430-0421,651206@naver.com,599218,광주시,22,1,312600,310000,127.28385,36.81703
883831-281471,유은휘,010-2820-8482,982813@naver.com,386388,보은군,33,1,330003,330000,126.36886,36.48193
619419-120246,오교현,010-6372-8961,983464@naver.com,650051,서대문구,60,1,110010,110000,128.49364,35.26203
735539-275621,신주린,010-9534-2875,251199@naver.com,448546,남해군,48,0,380005,380000,128.56292,35.87359
880491-119701,한고인,010-8174-8707,74826@naver.com,419889,천안군,33,1,340013,340000,127.09031,37.6502
946859-186797,손보수,010-8665-6625,559365@naver.com,411107,의령군,27,1,380011,380000,126.33972,36.62889
550649-255463,황조채,010-2592-0381,486681@naver.com,415724,부천오정구,66,1,310302,310000,126.54633,35.91531
731355-285534,한양안,010-5870-0880,645573@naver.com,594867,의성군,48,0,370021,370000,127.77116,36.16936
772251-108450,우김름,010-8925-7406,617356@naver.com,186019,달성군,44,0,370005,370000,128.48822,37.67251
763341-258085,표은연,010-7709-3160,456508@naver.com,86017,동작구,45,1,110008,110000,127.28443,36.98673
910434-286398,박수준,010-3125-9617,59496@naver.com,63713,마산시,30,0,380200,380000,128.55075,36.59025
835088-294941,곽효혜,010-4889-5402,849831@naver.com,742806,양평군,38,0,310009,310000,128.04175,37.28239
667464-272169,유고재,010-6242-8908,335000@naver.com,286879,거창군,55,0,380002,380000,127.90325,35.17746
851727-179076,한솔온,010-5673-0169,82606@naver.com,975988,거창군,36,0,380002,380000,126.97266,36.81983
661808-151786,곽원희,010-3564-1790,90668@naver.com,709433,함양군,55,1,380018,380000,128.61448,37.76289
641809-177247,배아민,010-1854-7572,507838@naver.com,692592,담양군,57,1,360008,360000,127.62313,36.84551
569043-256613,방기교,010-9026-1262,372207@naver.com,411139,인천강화군,65,0,220100,220000,127.94158,35.92903
433375-298788,민휘늘,010-7335-9693,612048@naver.com,839348,광주동구,78,0,240001,240000,126.66142,36.9131
435631-197138,안기영,010-6516-4578,975755@naver.com,994208,횡성군,78,0,320015,320000,128.45019,35.21553
973873-103965,권영수,010-4041-0826,396808@naver.com,336706,인천남동구,24,0,220006,220000,127.65881,37.54054
760193-135017,엄고련,010-4415-3706,378025@naver.com,261800,포항북구,45,1,370702,370000,126.30774,35.38864
405228-288698,배동운,010-5525-1866,151127@naver.com,829619,마포구,81,1,110009,110000,128.88466,36.47607
955074-103192,표동리,010-4720-5807,502361@naver.com,300861,화천군,26,0,320014,320000,128.46741,37.50306
724541-140769,도이향,010-5942-2780,491627@naver.com,216233,안동시,49,1,370400,370000,126.75561,37.86951
896680-279313,한우신,010-6695-4632,496710@naver.com,459765,안동시,32,0,370400,370000,126.5983,36.72517
430771-118281,나수온,010-1207-0996,336280@naver.com,168381,울산북구,78,0,260004,260000,127.64654,35.81926
785730-182376,문유운,010-1682-4999,160347@naver.com,727555,순창군,43,0,350006,350000,126.30237,37.17153
671898-186203,표교화,010-1106-7684,101716@naver.com,81853,안양동안구,54,0,310702,310000,127.76752,36.70748
644923-235773,석하래,010-4509-3424,735329@naver.com,865104,청주서원구,57,0,330104,330000,126.42239,36.84169
895086-105211,한혜기,010-6743-9208,219075@naver.com,437158,고성군,32,0,320001,320000,127.99432,37.98327
462369-266572,방윤름,010-2062-8083,417970@naver.com,443211,문경시,75,0,370800,370000,128.51127,36.91928
929086-224609,방상선,010-3847-7935,759430@naver.com,799814,고성군,29,0,320001,320000,126.80983,37.77928
959052-218052,공승우,010-9252-6574,772639@naver.com,284812,거제시,26,1,381000,380000,128.32531,35.75305
998590-176163,표채송,010-5179-7815,764@naver.com,637500,경산시,22,0,371000,370000,126.03531,37.64329
837567-116571,변세안,010-4076-4761,370700@naver.com,520293,횡성군,38,0,320015,320000,128.00762,37.38731
658886-215612,강선완,010-2107-9688,51804@naver.com,423615,천안시,56,0,340200,340000,126.43852,36.44193
487732-182391,양은신,010-2973-5485,636288@naver.com,141932,진주시,73,0,380500,380000,128.20847,35.69851
446141-275196,나영예,010-5623-6637,768118@naver.com,76756,대구중구,77,1,230006,230000,128.46537,36.90848
584215-171190,탁교한,010-4692-3137,780232@naver.com,15991,목포시,63,1,360300,360000,126.91277,36.09483
622483-200463,신윤유,010-6655-4227,809855@naver.com,796656,연천군,59,1,310011,310000,126.74565,36.48344
576371-282335,노슬예,010-6782-0333,776339@naver.com,567768,세종시,64,1,410000,410000,128.37464,37.23681
742782-247467,최영세,010-9473-0524,650312@naver.com,565546,횡성군,47,1,320015,320000,128.10025,37.89546
647689-165971,김규신,010-7145-3477,592670@naver.com,631898,인천중구,57,1,220004,220000,127.82002,36.2434
716913-289008,구윤민,010-5010-9550,63469@naver.com,388186,화천군,50,1,320014,320000,128.98496,37.22047
775506-189140,장예경,010-3724-4343,693013@naver.com,647915,중구,44,0,110017,110000,126.24912,37.04019
720883-248072,민혜린,010-4692-3703,444502@naver.com,462188,대구수성구,49,1,230005,230000,128.18149,37.83824
895829-191129,서영솔,010-2316-3592,845851@naver.com,602094,울산중구,32,0,260003,260000,126.20926,37.94947
882553-193201,김승옥,010-2158-2168,1580@naver.com,925792,정선군,33,0,320009,320000,127.14474,35.84918
764364-176087,신세빈,010-5191-7289,137224@naver.com,333363,화천군,45,1,320014,320000,127.19778,37.39067
505114-254039,민윤령,010-3088-4753,838680@naver.com,613221,울산북구,71,0,260004,260000,127.1184,35.59487
518599-124508,허지하,010-5473-6638,22454@naver.com,209621,순천시,70,0,360400,360000,128.29044,37.5517
767841-147872,고현하,010-5195-6316,497454@naver.com,730363,안산상록구,45,1,311102,310000,128.948,35.36982
440548-225692,권서율,010-2649-2772,623962@naver.com,503333,창녕군,77,0,380014,380000,127.52013,36.00936
603128-121317,배의리,010-3685-3055,239971@naver.com,895507,부산기장군,61,1,210100,210000,126.22048,36.65839
971439-190630,전이재,010-7672-8019,168731@naver.com,27100,인천남동구,24,0,220006,220000,128.61918,37.60854
469128-143289,구수혜,010-3909-6449,465495@naver.com,283735,울산중구,75,1,260003,260000,126.19442,36.69224
937321-133279,은률원,010-1041-2260,450861@naver.com,177995,구로구,28,0,110005,110000,128.463,35.84176
967350-135083,전채효,010-5806-0373,263465@naver.com,674104,수원영통구,25,0,310604,310000,128.07402,36.38996
926302-269850,추솔정,010-7509-3429,231188@naver.com,834322,서대문구,29,0,110010,110000,128.58313,35.65867
433803-220171,최영비,010-9408-1289,163143@naver.com,67511,광진구,78,1,110023,110000,127.67842,36.89214
672354-257288,류다휘,010-8441-5482,640516@naver.com,37102,천안군,54,0,340013,340000,127.99897,37.67758
514672-167481,정원향,010-4594-5359,401962@naver.com,463843,횡성군,70,1,320015,320000,126.59458,37.98205
725763-146292,하소나,010-8732-4099,510029@naver.com,121939,영천시,49,0,370600,370000,128.85986,36.02935
781921-298945,우한경,010-3076-1649,596406@naver.com,436422,남제주군,43,0,390001,390000,128.72002,35.91417
